单位：见下方表格,,
项      目,2013,2012
报考人次             (人次),137528,136864
报考科次             (科次) ,376699,399989
发出专科毕业证书       (个) ,3803,8866
发出本科毕业证书       (个),6764,4753
开考专业               (个),106,113
,,
,,
,,
,,
,,
